Казанский кафедральный собор;Казанская пл., д. 2
Храм Тихвинской иконы Божией Матери резиденции петербургских митрополитов на Каменном острове;Санкт-Петербург, Каменный остров
Храм святых благоверных князей Петра и Февронии в Приморском районе (планируется);
Храм святого Александра Невского в посёлке Петро-Славянка;п. Петро-Славянка, участок 500, территория предприятия «Ленсоветовское».
Храм в честь воскрешения праведного Лазаря в г. Сосновый Бор (строится);Ленинградская область, г. Сосновый Бор
Храм Архистратига Божия Михаила и прочих Небсных Сил бесплотных в 26-й Ракетной Бригаде г. Луга (строится);Ленинградская область, город Луга
Храм иконы Божией Матери «Неупиваемая Чаша» в п. Кобралово (строится);Ленинградская область, Гатчинский район, п. Кобралово
Храм св. вмц. Анастасии Узорешительницы в пос. Оржицы (строится);Ленинградская область, Ломоносовский район, деревня Оржицы
Храм Спаса Нерукотворного Образа Новой Ладоги;Ленинградская обл., Волховский р-н, г. Новая Ладога
Часовня во имя Алексия человека Божьего в деревне Малое Карлино;Ленинградская область, Ломоносовский р-н, д. Малое Карлино
Храм блаженной Матроны Московской д. Малое Карлино;Ленинградская область, Ломоносовский р-н, д. Малое Карлино
Храм святителя Николая Чудотворца п. Кипень (строится);Ленинградская область, Ломоносовский район, п. Кипень
Храм св. вмч. Георгия Победоносца в д. Коськово;187513, Тихвинский район, деревня Коськово, ул. Центральная, д. 40
Храм святого праведного Иоанна Кронштадтского в пос. Молодцово;Ленинградская область, Кировский район, посёлок Молодцово.
Собор Рождества Иоанна Предтечи с. Старая Ладога;село Старая Ладога, ул. Поземская, д. 37
Храм святых Флора и Лавра в конно-спортивном клубе "Вента" в деревне Суоранда, Хирвости;Ленинградская область, Всеволожский район, деревня Хирвости
Храм святителя Луки (Войно-Ясенецкого) на пр. Металлистов;пр. Металлистов, д.72 корп.2, Детская городская поликлиника № 68
Храм святых Петра и Февронии в коттеджном поселке Березовка (строится);коттеджный посёлок Берёзовка
Храм Иверской иконы Божией Матери п. Кингисеппский (строится);пос. Кингисеппский
Андреевский собор в Кронштадте (планируется воссоздание);Санкт-Петербург, Кронштадт
Храм св. вмч. Георгия Победоносца (Суворовский) г. Новая Ладога;г. Новая Ладога, ул. Суворова д. 14б
Храм св. вмч. Георгия Победоносца в Новой Ладоге;г. Новая Ладога, ул. Суворова д. 14б
Храм-часовня святого праведного Иоанна Русского в Ульянке;улица Солдата Корзуна д.20 - участок напротив
Храм святой Евгении на Парашютной улице;Парашютная улица
Храм-часовня святой праведной Мариамны на Пундоловском кладбище в деревне Суоранда (Янино-1);188680, Ленинградская обл., Пундоловское кладбище в деревне Суоранда Всеволожского района (Янино-1). Храм расположен при входе на территорию кладбища.
Часовня иконы Божией Матери «Благодатное Небо» на аэродроме «Сиворицы» гатчинского авиаспортивного клуба;Ленинградская область, Гатчинский район, аэродром "Сиворицы"
Храм 9-й гвардейской артиллерийской бригады г. Луга (строится);Ленинградская область, город Луга
Храм святителя Игнатия Брянчанинова при Военном инженерно-техническом институте;Захарьевская улица, 22
Храм св. Михаила Архангела Военного института физкультуры (строится);Большой Сампсониевский пр.
Храм святого благоверного князя Александра Невского в посёлке Романовка (строится);посёлок Романовка
Крестовоздвиженский храм на Крестовском острове (планируется);Константиновский пр., участок 9 восточнее дома 11А
Храм преподобного Серафима Саровского в поселке Мельничный ручей;Ленинградская область, г. Всеволожск, ул. Грибоедова, д.46
Храм Покрова Божией Матери в п. Торковичи;Ленинградская область, Лужский район, посёлок Торковичи
Храм Рождества Иоанна Предтечи в деревне Новое Калище (строится);Ленинградская область, Ломоносовский район, деревня Новое Калище. Район садоводств между СНТ "Северный" и ДНТ "Солнечный" у перекрестка рядом с карьерами
Часовня вмч. Георгия Победоносца на мемориале «Партизанская Слава» г. Луга;Ленинградская область, город Луга
Храм святителя Николая Чудотворца на Тосненском городском кладбище;Ленинградская область, город Тосно, городское кладбище
Храм прп. Серафима Саровского в пос. Новоселье;посёлок Новоселье
Храм вмч. Георгия Победоносца в деревне Ратчино;Ленинградская область, Кингисеппский район, деревня Ратчино
Храм Покрова Пресвятой Богородицы при Психоневрологическом интернате № 1 в Зеленогорске;Санкт-Петербург, город Зеленогорск, улица Мира, дом 6
Храм Успения Пресвятой Богородицы в д. Вохоново;188358, Ленинградская обл., Гатчинский р-н, Сяськелевская волость, д. Вохоново, Вохоновское шоссе, 7.
Храм во имя святых благоверных князей Петра и Февронии пос. Стрельна;посёлок Стрельна, пересечение ул. Заводской и ул. Боровой. участок 1
Храм святых благоверных Петра и Февронии в п. Солнечное (планируется);поселок Солнечное, Приморское шоссе, юго-восточнее дома 364а, участок 13
Храм св. Георгия Победоносца в микрорайоне Красавица Зеленогорска;г. Санкт-Петербург, Зеленогорск, квартал Красавица
Храм иконы Божией Матери "Неопалимая купина" на Пискарёвском проспекте (строится);Санкт-Петербург, Пискарёвский проспект, у дома 28
Храм Покрова Божией Матери в д. Вычелобок;188272, Россия, Ленинградская область, Лужский район, д. Вычелобок
Часовня святых Бориса и Глеба на Графской горе;Ленинградская обл., Тосненский район, у Графского моста через реку Тосна.
Храм святого князя Лазаря Косовского в г. Кингисепп (строится);Ленинградская область, город Кингисепп
Часовня вмч. Пантелеимона при Лужском психоневрологическом интернате;Ленинградская область, г. Луга, ул. Ленинградское шоссе
Храм-часовня в честь Всех Святых в д. Систо-Палкино;Ленинградская обл., Ломоносовский р-н, деревня Систо-Палкино
Храм Введения во храм Пресвятой Богородицы п. Пудость;посёлок Пудость
Храм вмч. Георгия Победоносца в п.Тельмана;Ленинградская область, Тосненский район, посёлок Тельмана, д.16
Часовня в честь иконы Божией Матери «Благодатное небо» на аэродроме Кусино;Ленинграская область, Киришский район, аэродром Кусино
Храм св. блгв. кн. Александра Невского в пос. Апраксин;Ленинградская область, Кировский район, посёлок Апраксин
Храм преподобного Амвросия Оптинского на приусадебном хозяйстве подворья Оптиной пустыни в пос. Сосновый Бор;188823, Ленинградская область, Выборгский район, посёлок Сосновый Бор
Храм Покрова Пресвятой Богородицы д. Дятлицы;188520 Ленинградская область, Ломоносовский район, деревня Дятлицы
Храм Пресвятой Троицы на территории базы отдыха "Завода слоистых пластиков" Ромашкинской волости;с. Ромашки, хоз. Преображенское
Храм святителя Алексия, митрополита Московского, в Лахте;Санкт-Петербург, Приморский район, посёлок Лахта, улица Красных партизан, д. 4
Храм св. вмц. Параскевы Пятницы в Невском районе (планируется);
Храм иконы Божией Матери "Всех Скорбящих Радость (с грошиками)" (строится);пр. Обуховской обороны, д.22
Храм Валаамской иконы Божией Матери в п. Терволово (строится);Ленинградская область, Гатчинский район, посёлок Терволово
Храм св.кн. Александра Невского в п. Форносово (строится);посёлок Форносово, Павловское шоссе
Храм св. Иоанна Предтечи в д. Озерешно;деревня Озерешно
Домовый храм в честь иконы Божией Матери «Взыскание погибших» в д. Яльгелево;Ленинградская область, Ломоносовский район, деревня Яльгелево
Храм святых мучеников младенцев Вифлеемских;Парголово, Торфяное, ул. Карьерная, уч.2
Храм иконы Божией Матери "Помощница в родах" при родильном доме № 10;Санкт-Петербург, улица Тамбасова, 21
Храм иконы Божией Матери "Нечаянная Радость" на проспекте Народного ополчения;проспект Народного Ополчения, между домами 143 и 145,
Храм-часовня святителя Николая Чудотворца в Ломоносове;Санкт-Петербург, город Ломоносов, угольная улица
Храм Архистратига Божия Михаила в поселке Михалево (Бородинское);Ленинградская область, Выборгский район, поселок Михалево
Храм-часовня св. вмч. и целителя Пантелеимона в Сланцах;город Сланцы, посёлок Большие Лучки, ул. Дзержинского, д. 18
Храм иконы Божией Матери «Спорительница Хлебов» в деревне Большие Колпаны;деревня Большие колпаны
Храм священномученика Игнатия Богоносца в Выборге;г. Выборг, Южный микрорайон, Приморская улица, 41 а
Храм-часовня свт. Луки Войно-Ясенецкого при НИИ Скорой помощи им. Джанелидзе;Будапештская ул., 3, на втором этаже больницы
Храм священномученика Вениамина митрополита Петроградского в Авиагородке (планируется);ул. Взлётная, участок 1010
Князь-Владимирский храм г. Пушкина;Санкт-Петербург, г. Пушкин
Храм святых благоверных князей Петра и Февронии на Кушелевской дороге;Санкт-Петербург, Кушелевская дорога
Храм святителя Григория Паламы;Санкт-Петербург
Храм св. блгв. вел. кн. Александра Невского в 1-ом Военно-Морском клиническом госпитале;Санкт-Петербург
Храм Святой Живоначальной Троицы в Галерной гавани;Санкт-Петербург
Храм Святителя Николая Чудотворца на Вознесенском проспекте (на Казанской улице);Вознесенский пр., дом 16, лит.Ж
Храм преподобного Алексия, человека Божия, в посёлке Белоостров (планируется);посёлок Белоостров, Сестрорецкое шоссе, уч.1, северо-западнее д.42 по Сестрорецкому шоссе
Храм свв. апп. Петра и Павла на Сампсоньевском пр. при Сухопутном военном госпитале Военно-медицинской академии;Большой Сампсониевский пр. 1
Храм Архистратига Михаила в г. Колпино (планируется);город Колпино
Храм великомученика Димитрия Солунского в Красносельском районе (строится);проспект Героев, берег Матисова канала, уч-к 14
Храм во имя священномученика Илариона (Троицкого) архиепископа Верейского в Калининском районе;Санкт-Петербург, Калининский район
Храм равноапостольного Николая, архиепископа Японского, в Московском районе;Санкт-Петербург, Московский район
Храм священномученика Серафима (Чичагова) в Калининском районе (планируется);
Храм-часовня св. блгв. кн. Александра Невского на базе обеспечения учебного процесса ВАМТО;Ленинградская область, рядом с ж/д станцией разъезд имени генерала Омельченко
Александро-Невский артиллерийский храм на Выборгской стороне;Санкт-Петербург, проспект Маршала Блюхера, 12, литера Г Ю, строение 149
Храм иконы Божией Матери "Умиление" на Гжатской улице (строится временный храм);Гжатская ул., участок 1 (юго-восточнее пересечения с ул. Фаворского)
Храм Вознесения Господня в Гвардейском;посёлок Гвардейское
Храм Покрова Пресвятой Богородицы в п. Покровское;Ленинградская область, п. Покровское
Храм-часовня Преображения Господня в посёлке Репино;Санкт-Петербург, посёлок Репино, Вокзальная ул. (Привокзальный сквер)
Храм-часовня во имя иконы Божией Матери "Живоносный источник" при 26-й больнице;Санкт-Петербург, ул. Костюшко, 2
Храм-часовня св. вмч. и целителя Пантелеимона при Центральной больнице Ломоносовского района;город Ломоносов, улица Еленинская, дом 13 (вход с улицы Костылева)
Храм иконы Божией Матери "Всех скорбящих Радосте" на Лахтинской улице;ул. Лахтинская, д. 12, лит. Б
Храм-часовня вмч. Пантелеимона в п. Каложицы;Ленинградская обл., Волосовский р-н, п. Каложицы
Храм св. Марии Магдалины в деревне Бор;Ленинградская область, Всеволожский район, деревня Бор
Храм-часовня Преображения Господня у станции метро "Ломоносовская";г. СПб., Невский р-н, напротив дома 12 по пер. Матюшенко
Храм Св. мц. Софии в п. Вартемяги на подворье Иоанновского ставропигиального женского монастыря;п.Вартемяги, Токсовское шоссе, 5
Часовня свт. Николая Чудотворца в деревне Заорешье;Ленинградская область, деревня Заорешье
Храм прав. Иоанна Кронштадтского в урочище Должск;урочище Должск
Часовня в поселке Володарского (Люблино);Ленинградская область, Лужский район, посёлок Володарское
Часовня преподобного Александра Свирского в деревне Бабино;187430, Ленинградская область, Волховский район, деревня Бабино
Храм святителя Митрофана Воронежского в Гатчинском микрорайоне "Въезд";город Гатчина, микрорайон Въезд
Храм св. прп. Сергия Радонежского в Гатчине (планируется);Ленинградская область, город Гатчина, микрорайон Въезд
Храм св. Иоанна Предтечи на Гатчинском городском кладбище;город Гатчина, улица Солодухина, городское кладбище
Храм Преображения Господня в д. Старосиверская;Россия, Ленинградская обл., Гатчинский р-н, пгт. Сиверский, д. Старосиверская, ул. Школьная, д. 5 Б
Храм прп. Сергия Радонежского в д. Чикино;Ленинградская область, Гатчинский район, деревня Чикино
Храм Августовской иконы Пресвятой Богородицы в посёлке Бугры (строящийся);188660, Ленинградская область, Всеволожский район, поселок Бугры, ул. Шоссейная 2-Б
Часовня Архистратига Божия Михаила при Токсовской районной больнице;Ленинградская обл., Всеволожский район, п. Токсово (при Токсовской районной больнице)
Часовня Архистратига Божия Михаила п. Лехтуси;Ленинградская область, Всеволожский район, посёлок Лехтуси
Часовня вмч. Георгия Победоносца при садоводстве СНТ «Белоостров»;Ленинградская обл., Всеволожский р-н, г. Садоводство СНТ «Белоостров»
Храм Живоначальной Троицы п. Хиттолово;посёлок Хиттолово
Храм-часовня прп. Сергия Радонежского в войсковой части 30616-2 г. Сертолово;Ленинградская область, Всеволожский р-н, г. Сертолово (Сертолово -2), войсковая часть 71717
Храм Рождества Пресвятой Богородицы в войсковой части 13821 мкр.Чёрная Речка;г. Сертолово (Черная Речка), войсковая часть 13821
Храм Валаамской иконы Божией Матери д. Порошкино;Ленинградская область, Всеволожский р-н, д. Порошкино, дорога на Мендсары, 1а.
Храм Почаевской иконы Божией Матери в д. Гарболово;Всеволожский р-н, д. Гарболово
Часовня вмч. Пантелеимона при доме-интернате для престарелых пос. Свердлова;Лен. обл., Всеволожский район, пос. им. Свердлова , д. 13
Молитвенная комната св. Луки Крымского в Светогорской районной больнице;
Часовня свт. Луки (Войно-Ясенецкого) в Приморской районной больнице;
Часовня св. равноап. кн. Владимира на Овцинском кладбище;Всеволожский район, пгт. им. Свердлова, микрорайон №1 (Овцинское кладбище)
Часовня св. мц. Татианы д. Озерки;Всеволожский район, кладбище д. Озерки.
Часовня вмч. Георгия Победоносца на территории Всеволожского УВД;Ленинградская область, г..Всеволожск, пер. Вахрушева, 6 (на территории Всеволожского УВД)
Храм воскрешения св. прав. Лазаря во Всеволожске;город Всеволожск, Всеволожское кладбище №2
Храм Преображения Господня на действующем кладбище п. Мурино;Ленинградская обл., Всеволожский р-н, пос. Мурино,
Храм свт. Николая Чудотворца в д. Малая Романовка на Щегловском кладбище;Щегловское сельское поселение, д. Малая Романовка
Храм свт. Спиридона Тримифунтского п. Красная Заря (строится);Ленинградская область, Всеволожский р-н, пос. Красная Заря
Храм св. Архистратига Божия Михаила при Всеволожской клинической межрайонной больнице;188640, Ленинградская область, город Всеволожск, Колтушское шоссе, д. 20
Храм Казанской иконы Божией Матери в п. Коммунары (Меллюпельто);пос. Коммунары, Ленинградское шоссе, д. 25
